	example_idx	FW_iter	gap_FW	success	first_success	target	pred	stop_cond	adv_target	stepsize	l_inf	mdlLoss	targeted_success	rule
0	0	1	2.548006296157837	False	False	9	9		8	1.0	0.005000025033950806	15.079809188842773	False	decay
1	0	2	1.3224313259124756	False	False	9	9		8	0.6666666666666666	0.005000025033950806	6.906051158905029	False	decay
2	0	3	1.234816551208496	False	False	9	9		8	0.5	0.005000054836273193	5.982159614562988	False	decay
3	0	4	0.8958913683891296	False	False	9	9		8	0.4	0.005000054836273193	4.641402721405029	False	decay
4	0	5	0.7246605753898621	False	False	9	9		8	0.3333333333333333	0.005000054836273193	3.766914129257202	False	decay
5	0	6	0.5379703044891357	False	False	9	9		8	0.2857142857142857	0.005000054836273193	3.039137363433838	False	decay
6	0	7	0.4156723916530609	False	False	9	9		8	0.25	0.005000054836273193	2.5056655406951904	False	decay
7	0	8	0.36574289202690125	False	False	9	9		8	0.2222222222222222	0.005000054836273193	2.173957347869873	False	decay
8	0	9	0.31848204135894775	False	False	9	9		8	0.2	0.005000054836273193	1.9017586708068848	False	decay
9	0	10	0.33272626996040344	False	False	9	9		8	0.18181818181818182	0.005000054836273193	1.7085497379302979	False	decay
10	0	11	0.3078540563583374	False	False	9	9		8	0.16666666666666666	0.005000054836273193	1.5685797929763794	False	decay
11	0	12	0.2822100520133972	False	False	9	9		8	0.15384615384615385	0.005000054836273193	1.4328542947769165	False	decay
12	0	13	0.22994162142276764	False	False	9	9		8	0.14285714285714285	0.005000054836273193	1.3235682249069214	False	decay
13	0	14	0.2321823686361313	False	False	9	9		8	0.13333333333333333	0.005000054836273193	1.2497845888137817	False	decay
14	0	15	0.1881294995546341	False	False	9	9		8	0.125	0.005000054836273193	1.1704639196395874	False	decay
15	0	16	0.205996572971344	False	False	9	9		8	0.11764705882352941	0.005000054836273193	1.1132073402404785	False	decay
16	0	17	0.17410989105701447	False	False	9	9		8	0.1111111111111111	0.005000054836273193	1.0715742111206055	False	decay
17	0	18	0.15300017595291138	False	False	9	9		8	0.10526315789473684	0.005000054836273193	1.022484302520752	False	decay
18	0	19	0.14526960253715515	False	False	9	9		8	0.1	0.005000054836273193	0.9874568581581116	False	decay
19	0	20	0.15936428308486938	True	True	9	8	max_iter	8	0.09523809523809523	0.005000054836273193	0.9676958322525024	True	decay
20	1	1	2.1405482292175293	False	False	6	6		8	1.0	0.005000025033950806	16.2896728515625	False	decay
21	1	2	0.6428070664405823	False	False	6	6		8	0.6666666666666666	0.005000025033950806	9.020387649536133	False	decay
22	1	3	0.5708696842193604	False	False	6	6		8	0.5	0.005000025033950806	8.34937572479248	False	decay
23	1	4	0.36016762256622314	False	False	6	6		8	0.4	0.005000025033950806	7.734619617462158	False	decay
24	1	5	0.3243529796600342	False	False	6	6		8	0.3333333333333333	0.005000025033950806	7.3679890632629395	False	decay
25	1	6	0.2817114293575287	False	False	6	6		8	0.2857142857142857	0.005000025033950806	7.204409122467041	False	decay
26	1	7	0.22651836276054382	False	False	6	6		8	0.25	0.005000025033950806	6.9776506423950195	False	decay
27	1	8	0.2047366201877594	False	False	6	6		8	0.2222222222222222	0.005000025033950806	6.8243842124938965	False	decay
28	1	9	0.20170675218105316	False	False	6	6		8	0.2	0.005000025033950806	6.710479259490967	False	decay
29	1	10	0.21338233351707458	False	False	6	6		8	0.18181818181818182	0.005000025033950806	6.645253658294678	False	decay
30	1	11	0.17895734310150146	False	False	6	6		8	0.16666666666666666	0.005000025033950806	6.584359645843506	False	decay
31	1	12	0.15497441589832306	False	False	6	6		8	0.15384615384615385	0.005000025033950806	6.517245292663574	False	decay
32	1	13	0.14892619848251343	False	False	6	6		8	0.14285714285714285	0.005000025033950806	6.466455459594727	False	decay
33	1	14	0.16070933640003204	False	False	6	6		8	0.13333333333333333	0.005000025033950806	6.445851802825928	False	decay
34	1	15	0.16084948182106018	False	False	6	6		8	0.125	0.005000025033950806	6.4030680656433105	False	decay
35	1	16	0.1614692062139511	False	False	6	6		8	0.11764705882352941	0.005000025033950806	6.3954033851623535	False	decay
36	1	17	0.14137835800647736	False	False	6	6		8	0.1111111111111111	0.005000025033950806	6.360113620758057	False	decay
37	1	18	0.12700383365154266	False	False	6	6		8	0.10526315789473684	0.005000025033950806	6.345872402191162	False	decay
38	1	19	0.12565115094184875	False	False	6	6		8	0.1	0.005000025033950806	6.315857887268066	False	decay
39	1	20	0.13467341661453247	False	False	6	6	max_iter	8	0.09523809523809523	0.005000025033950806	6.308398246765137	False	decay
40	2	1	2.181245803833008	False	False	0	0		8	1.0	0.005000025033950806	14.61716079711914	False	decay
41	2	2	2.789979934692383	False	False	0	0		8	0.6666666666666666	0.005000010132789612	10.714217185974121	False	decay
42	2	3	1.7244107723236084	False	False	0	0		8	0.5	0.005000054836273193	8.202637672424316	False	decay
43	2	4	1.2689980268478394	False	False	0	0		8	0.4	0.005000054836273193	6.304553031921387	False	decay
44	2	5	0.9141549468040466	False	False	0	0		8	0.3333333333333333	0.005000054836273193	5.61322546005249	False	decay
45	2	6	0.6643662452697754	False	False	0	0		8	0.2857142857142857	0.005000054836273193	4.812349796295166	False	decay
46	2	7	0.6800965666770935	False	False	0	0		8	0.25	0.005000054836273193	4.468750953674316	False	decay
47	2	8	0.5481922030448914	False	False	0	0		8	0.2222222222222222	0.005000054836273193	4.209074974060059	False	decay
48	2	9	0.5452861189842224	False	False	0	0		8	0.2	0.005000054836273193	4.009719371795654	False	decay
49	2	10	0.5105025768280029	False	False	0	0		8	0.18181818181818182	0.005000054836273193	3.9026317596435547	False	decay
50	2	11	0.502094030380249	False	False	0	0		8	0.16666666666666666	0.005000054836273193	3.796750545501709	False	decay
51	2	12	0.48409560322761536	False	False	0	0		8	0.15384615384615385	0.005000054836273193	3.6660404205322266	False	decay
52	2	13	0.5054193139076233	False	False	0	0		8	0.14285714285714285	0.005000054836273193	3.6246960163116455	False	decay
