epsilon,attack_type,norm_type,targeted,step_rule,accuracy,total_queries,avg_queries,cpu_time,gap_FW,gap_AS
0.005,fw,-1,True,lipschitz_mnist,1.0,1948,974.7374100719425,0.007732207091469681,0.22986796498298645,
0.005,fw,-1,True,decay,1.0,1948,974.7374100719425,0.008856307810894143,0.22771397233009338,
0.005,fw,-1,True,amjo,1.0,1948,974.7374100719425,0.01523959403905447,0.22986796498298645,
0.005,fw,-1,True,ls,1.0,1948,974.7374100719425,0.09847122302158273,0.22986796498298645,
0.005,fw,-1,False,lipschitz_mnist,1.0,1876,938.7369263607258,0.008854722518676628,0.15451288223266602,
0.005,fw,-1,False,decay,1.0,1861,931.2388380849919,0.009388448090371168,0.15410050749778748,
0.005,fw,-1,False,amjo,1.0,1876,938.7369263607258,0.01666722251867663,0.15451288223266602,
0.005,fw,-1,False,ls,1.0,1876,938.7369263607258,0.13450506937033085,0.15451288223266602,
0.005,fw,1,True,lipschitz_mnist,0.09,202,101.74,0.01046875,-0.00044299953151494265,
0.005,fw,1,True,decay,0.09,202,101.74,0.010234375,-0.00044299953151494265,
0.005,fw,1,True,amjo,0.09,202,101.74,0.030234375,-0.00044299953151494265,
0.005,fw,1,True,ls,0.23,205,103.24137931034483,0.13354371921182265,-0.005940488073974848,
0.005,fw,1,False,lipschitz_mnist,0.09,202,101.74,0.010546875,-1.485628126829397e-05,
0.005,fw,1,False,decay,0.09,202,101.74,0.0115625,-1.485628126829397e-05,
0.005,fw,1,False,amjo,0.09,202,101.74,0.02203125,-1.485628126829397e-05,
0.005,fw,1,False,ls,0.09,202,101.74,0.151015625,-1.485628126829397e-05,
0.005,fw,2,True,lipschitz_mnist,1.0,170,85.74404761904762,0.008742559523809524,0.030815917998552322,
0.005,fw,2,True,decay,1.0,170,85.74404761904762,0.00855654761904762,0.030815917998552322,
0.005,fw,2,True,amjo,1.0,170,85.74404761904762,0.014322916666666666,0.030815917998552322,
0.005,fw,2,True,ls,1.0,170,85.74404761904762,0.14109002976190477,0.030815917998552322,
0.005,fw,2,False,lipschitz_mnist,1.0,124,62.77049180327869,0.011014344262295082,0.09086047857999802,
0.005,fw,2,False,decay,1.0,124,62.77049180327869,0.009605532786885246,0.09086047857999802,
0.005,fw,2,False,amjo,1.0,124,62.77049180327869,0.015625,0.09086047857999802,
0.005,fw,2,False,ls,1.0,124,62.77049180327869,0.14984631147540983,0.09086047857999802,
0.005,fw_away,-1,True,lipschitz_mnist,1.0,2002,1001.74,0.0109609375,0.22986796498298645,-0.22869262099266052
0.005,fw_away,-1,True,decay,1.0,2002,1001.74,0.0124296875,0.22771397233009338,-0.21653471887111664
0.005,fw_away,-1,True,amjo,1.0,2002,1001.74,0.015359375,0.22986796498298645,-0.22869262099266052
0.005,fw_away,-1,True,ls,1.0,2002,1001.74,0.152515625,0.22986796498298645,-0.22869262099266052
0.005,fw_away,-1,False,lipschitz_mnist,1.0,2002,1001.74,0.012296875,0.15451288223266602,-0.15347295999526978
0.005,fw_away,-1,False,decay,1.0,2002,1001.74,0.0131640625,0.15410050749778748,-0.1461631804704666
0.005,fw_away,-1,False,amjo,1.0,2002,1001.74,0.01853125,0.15451288223266602,-0.15347295999526978
0.005,fw_away,-1,False,ls,1.0,2002,1001.74,0.1669140625,0.15451288223266602,-0.15347295999526978
0.005,fw_away,1,True,lipschitz_mnist,0.09,2002,1001.74,0.0115390625,-0.000585653237067163,0.000585653237067163
0.005,fw_away,1,True,decay,0.09,2002,1001.74,0.01209375,-0.0006158536416478455,-5.2993222197983414e-05
0.005,fw_away,1,True,amjo,0.09,2002,1001.74,0.0340625,-0.00039578453288413584,3.804623247560812e-07
0.005,fw_away,1,True,ls,0.25,2002,1001.74,0.15228125,-0.00576502550393343,0.005522211082279682
0.005,fw_away,1,False,lipschitz_mnist,0.09,2002,1001.74,0.011890625,-1.673152291914448e-05,-1.7475031838243282e-12
0.005,fw_away,1,False,decay,0.09,2002,1001.74,0.012640625,-1.485628126829397e-05,-5.383480129239615e-06
0.005,fw_away,1,False,amjo,0.09,2002,1001.74,0.029875,-1.485628126829397e-05,-5.383480129239615e-06
0.005,fw_away,1,False,ls,0.09,2002,1001.74,0.1654296875,-1.820107536332216e-05,3.1900049179967027e-06
0.005,fw_away,2,True,lipschitz_mnist,1.0,2002,1001.74,0.01178125,0.03046712838113308,-0.03036859817802906
0.005,fw_away,2,True,decay,1.0,2002,1001.74,0.0128125,0.030323758721351624,-0.029036201536655426
0.005,fw_away,2,True,amjo,1.0,2002,1001.74,0.0178671875,0.03046712838113308,-0.03036859817802906
0.005,fw_away,2,True,ls,1.0,2002,1001.74,0.15125,0.03046712838113308,-0.03036859817802906
0.005,fw_away,2,False,lipschitz_mnist,1.0,2002,1001.74,0.0124921875,0.022637154906988144,-0.022509582340717316
0.005,fw_away,2,False,decay,1.0,2002,1001.74,0.0131875,0.02253825031220913,-0.021671714261174202
0.005,fw_away,2,False,amjo,1.0,2002,1001.74,0.018671875,0.022637154906988144,-0.022509582340717316
0.005,fw_away,2,False,ls,1.0,2002,1001.74,0.164828125,0.022637154906988144,-0.022509582340717316
0.005,fw_pair,-1,True,lipschitz_mnist,1.0,1948,974.7374100719425,0.011786998972250771,0.22986796498298645,-0.22869262099266052
0.005,fw_pair,-1,True,decay,1.0,1948,974.7374100719425,0.012084082733812949,0.2269420623779297,-0.22560852766036987
0.005,fw_pair,-1,True,amjo,1.0,1948,974.7374100719425,0.02464189362795478,0.22009505331516266,-0.21885699033737183
0.005,fw_pair,-1,True,ls,1.0,1948,974.7374100719425,0.15402588643371018,0.2308388501405716,-0.22978068888187408
0.005,fw_pair,-1,False,lipschitz_mnist,1.0,1876,938.7369263607258,0.011822972251867663,0.15451288223266602,-0.15347295999526978
0.005,fw_pair,-1,False,decay,1.0,1866,933.7381974248927,0.01223846566523605,0.1537022441625595,-0.15283092856407166
0.005,fw_pair,-1,False,amjo,1.0,1860,930.7389666307857,0.025666038751345533,0.1540570706129074,-0.15289297699928284
0.005,fw_pair,-1,False,ls,1.0,1858,929.739224137931,0.16402882543103448,0.15375201404094696,-0.15285906195640564
0.005,fw_pair,1,True,lipschitz_mnist,0.09,202,101.74,0.01140625,-0.00044299953151494265,2.9527831568731955e-11
0.005,fw_pair,1,True,decay,0.09,202,101.74,0.01390625,-0.00044299953151494265,2.9527831568731955e-11
0.005,fw_pair,1,True,amjo,0.09,202,101.74,0.031640625,-0.00044299953151494265,2.9527831568731955e-11
